Label,Total population,Total population!!AGE,Total population!!AGE!!Under 5 years,Total population!!AGE!!5 to 9 years,Total population!!AGE!!10 to 14 years,Total population!!AGE!!15 to 19 years,Total population!!AGE!!20 to 24 years,Total population!!AGE!!25 to 29 years,Total population!!AGE!!30 to 34 years,Total population!!AGE!!35 to 39 years,Total population!!AGE!!40 to 44 years,Total population!!AGE!!45 to 49 years,Total population!!AGE!!50 to 54 years,Total population!!AGE!!55 to 59 years,Total population!!AGE!!60 to 64 years,Total population!!AGE!!65 to 69 years,Total population!!AGE!!70 to 74 years,Total population!!AGE!!75 to 79 years,Total population!!AGE!!80 to 84 years,Total population!!AGE!!85 years and over,Total population!!SELECTED AGE CATEGORIES,Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Total population!!SELECTED AGE CATEGORIES!!Under 18 years,Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,Total population!!SELECTED AGE CATEGORIES!!16 years and over,Total population!!SELECTED AGE CATEGORIES!!18 years and over,Total population!!SELECTED AGE CATEGORIES!!21 years and over,Total population!!SELECTED AGE CATEGORIES!!60 years and over,Total population!!SELECTED AGE CATEGORIES!!62 years and over,Total population!!SELECTED AGE CATEGORIES!!65 years and over,Total population!!SELECTED AGE CATEGORIES!!75 years and over,Total population!!SUMMARY INDICATORS,Total population!!SUMMARY INDICATORS!!Median age (years),Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),Total population!!SUMMARY INDICATORS!!Age dependency ratio,Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,Total population!!SUMMARY INDICATORS!!Child dependency ratio,Total population!!PERCENT ALLOCATED,Total population!!PERCENT ALLOCATED!!Sex,Total population!!PERCENT ALLOCATED!!Age
        Estimate,(X),,6.90%,5.40%,4.80%,5.10%,6.90%,11.40%,11.70%,9.10%,6.90%,5.70%,5.30%,5.50%,4.40%,4.20%,2.40%,2.10%,1.10%,1.00%,,10.20%,2.30%,19.40%,9.80%,51.20%,82.20%,80.60%,76.50%,15.10%,13.60%,10.80%,4.20%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"371,394",,"22,225","17,407","15,919","20,623","27,027","44,337","42,681","30,875","24,530","19,305","18,157","18,929","17,893","16,964","11,730","7,963","6,991","7,838",,"33,326","7,573","63,124","40,077","190,073","313,011","308,270","288,212","69,379","61,380","51,486","22,792",,34.5,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,4.70%,4.30%,5.60%,7.30%,11.90%,11.50%,8.30%,6.60%,5.20%,4.90%,5.10%,4.80%,4.60%,3.20%,2.10%,1.90%,2.10%,,9.00%,2.00%,17.00%,10.80%,51.20%,84.30%,83.00%,77.60%,18.70%,16.50%,13.90%,6.10%,,(X),(X),(X),(X),(X),,(X),(X)
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"21,477,737",,"1,131,148","1,123,648","1,258,247","1,213,809","1,266,383","1,396,238","1,371,822","1,340,665","1,271,585","1,344,652","1,363,582","1,475,419","1,422,341","1,311,397","1,151,686","887,311","586,739","561,065",,"2,381,895","718,912","4,231,955","1,761,280","7,860,502","17,719,854","17,245,782","16,467,996","5,920,539","5,341,094","4,498,198","2,035,115",,42.4,95.6,68.5,35.3,33.2,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.30%,5.20%,5.90%,5.70%,5.90%,6.50%,6.40%,6.20%,5.90%,6.30%,6.30%,6.90%,6.60%,6.10%,5.40%,4.10%,2.70%,2.60%,,11.10%,3.30%,19.70%,8.20%,36.60%,82.50%,80.30%,76.70%,27.60%,24.90%,20.90%,9.50%,,(X),(X),(X),(X),(X),,0.10%,2.40%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"10,498,005",,"579,220","567,960","651,302","616,721","646,966","710,125","697,800","678,995","620,639","661,295","665,060","702,713","671,834","603,269","533,279","415,751","258,133","216,943",,"1,219,262","364,530","2,163,012","899,157","3,971,246","8,575,855","8,334,993","7,941,187","2,699,209","2,419,090","2,027,375","890,827",,40.7,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.50%,5.40%,6.20%,5.90%,6.20%,6.80%,6.60%,6.50%,5.90%,6.30%,6.30%,6.70%,6.40%,5.70%,5.10%,4.00%,2.50%,2.10%,,11.60%,3.50%,20.60%,8.60%,37.80%,81.70%,79.40%,75.60%,25.70%,23.00%,19.30%,8.50%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"10,979,732",,"551,928","555,688","606,945","597,088","619,417","686,113","674,022","661,670","650,946","683,357","698,522","772,706","750,507","708,128","618,407","471,560","328,606","344,122",,"1,162,633","354,382","2,068,943","862,123","3,889,256","9,143,999","8,910,789","8,526,809","3,221,330","2,922,004","2,470,823","1,144,288",,44.1,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.00%,5.10%,5.50%,5.40%,5.60%,6.20%,6.10%,6.00%,5.90%,6.20%,6.40%,7.00%,6.80%,6.40%,5.60%,4.30%,3.00%,3.10%,,10.60%,3.20%,18.80%,7.90%,35.40%,83.30%,81.20%,77.70%,29.30%,26.60%,22.50%,10.40%,,(X),(X),(X),(X),(X),,(X),(X)
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"10,617,423",,"639,713","678,013","758,925","746,150","714,400","750,041","708,555","713,413","688,521","705,423","691,591","685,356","614,130","521,959","411,763","277,818","167,072","144,580",,"1,436,938","426,378","2,503,029","1,034,172","4,321,080","8,394,269","8,114,394","7,645,283","2,137,322","1,882,894","1,523,192","589,470",,37.2,94.9,61.1,23.1,38,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.40%,7.10%,7.00%,6.70%,7.10%,6.70%,6.70%,6.50%,6.60%,6.50%,6.50%,5.80%,4.90%,3.90%,2.60%,1.60%,1.40%,,13.50%,4.00%,23.60%,9.70%,40.70%,79.10%,76.40%,72.00%,20.10%,17.70%,14.30%,5.60%,,(X),(X),(X),(X),(X),,0.10%,2.10%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,170,126",,"331,929","346,749","388,814","383,307","366,542","374,776","344,594","341,851","336,067","339,409","336,595","328,928","288,167","237,838","184,363","123,124","65,568","51,505",,"735,563","223,387","1,290,879","526,462","2,147,137","4,025,050","3,879,247","3,639,445","950,565","828,007","662,398","240,197",,35.7,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.40%,6.70%,7.50%,7.40%,7.10%,7.20%,6.70%,6.60%,6.50%,6.60%,6.50%,6.40%,5.60%,4.60%,3.60%,2.40%,1.30%,1.00%,,14.20%,4.30%,25.00%,10.20%,41.50%,77.90%,75.00%,70.40%,18.40%,16.00%,12.80%,4.60%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,447,297",,"307,784","331,264","370,111","362,843","347,858","375,265","363,961","371,562","352,454","366,014","354,996","356,428","325,963","284,121","227,400","154,694","101,504","93,075",,"701,375","202,991","1,212,150","507,710","2,173,943","4,369,219","4,235,147","4,005,838","1,186,757","1,054,887","860,794","349,273",,38.6,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.70%,6.10%,6.80%,6.70%,6.40%,6.90%,6.70%,6.80%,6.50%,6.70%,6.50%,6.50%,6.00%,5.20%,4.20%,2.80%,1.90%,1.70%,,12.90%,3.70%,22.30%,9.30%,39.90%,80.20%,77.70%,73.50%,21.80%,19.40%,15.80%,6.40%,,(X),(X),(X),(X),(X),,(X),(X)
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,415,872",,"85,335","84,466","82,606","77,697","89,100","100,380","95,401","101,412","83,721","83,229","84,950","87,409","90,696","85,187","68,051","49,696","28,868","37,668",,"167,072","47,780","300,187","119,017","547,711","1,147,569","1,115,685","1,069,806","360,166","326,379","269,470","116,232",,39.6,100,67.3,31.8,35.5,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.00%,5.80%,5.50%,6.30%,7.10%,6.70%,7.20%,5.90%,5.90%,6.00%,6.20%,6.40%,6.00%,4.80%,3.50%,2.00%,2.70%,,11.80%,3.40%,21.20%,8.40%,38.70%,81.10%,78.80%,75.60%,25.40%,23.10%,19.00%,8.20%,,(X),(X),(X),(X),(X),,0.10%,2.20%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"707,855",,"43,752","42,919","42,690","41,298","48,619","52,679","50,160","49,136","42,971","41,774","42,564","44,139","43,417","41,229","32,399","22,216","12,854","13,039",,"85,609","25,218","154,579","64,699","284,863","569,056","553,276","527,125","165,154","147,546","121,737","48,109",,38.1,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.10%,6.00%,5.80%,6.90%,7.40%,7.10%,6.90%,6.10%,5.90%,6.00%,6.20%,6.10%,5.80%,4.60%,3.10%,1.80%,1.80%,,12.10%,3.60%,21.80%,9.10%,40.20%,80.40%,78.20%,74.50%,23.30%,20.80%,17.20%,6.80%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"708,017",,"41,583","41,547","39,916","36,399","40,481","47,701","45,241","52,276","40,750","41,455","42,386","43,270","47,279","43,958","35,652","27,480","16,014","24,629",,"81,463","22,562","145,608","54,318","262,848","578,513","562,409","542,681","195,012","178,833","147,733","68,123",,41,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,5.90%,5.60%,5.10%,5.70%,6.70%,6.40%,7.40%,5.80%,5.90%,6.00%,6.10%,6.70%,6.20%,5.00%,3.90%,2.30%,3.50%,,11.50%,3.20%,20.60%,7.70%,37.10%,81.70%,79.40%,76.60%,27.50%,25.30%,20.90%,9.60%,,(X),(X),(X),(X),(X),,(X),(X)
Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,787,065",,"115,837","125,134","129,492","125,543","120,062","120,513","114,287","116,501","109,303","101,751","100,596","104,642","114,787","95,066","79,054","52,430","33,917","28,150",,"254,626","78,892","449,355","166,713","706,209","1,386,665","1,337,710","1,266,533","403,404","356,082","288,617","114,497",,36.9,101,70.3,27.5,42.8,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.50%,7.00%,7.20%,7.00%,6.70%,6.70%,6.40%,6.50%,6.10%,5.70%,5.60%,5.90%,6.40%,5.30%,4.40%,2.90%,1.90%,1.60%,,14.20%,4.40%,25.10%,9.30%,39.50%,77.60%,74.90%,70.90%,22.60%,19.90%,16.20%,6.40%,,(X),(X),(X),(X),(X),,0.10%,1.30%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"898,044",,"59,022","64,476","66,159","65,257","63,474","61,310","56,481","58,490","56,032","51,792","50,668","52,418","55,665","45,494","39,298","24,424","15,991","11,593",,"130,635","41,179","230,836","87,552","361,044","691,785","667,208","632,384","192,465","170,369","136,800","52,008",,36.2,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.60%,7.20%,7.40%,7.30%,7.10%,6.80%,6.30%,6.50%,6.20%,5.80%,5.60%,5.80%,6.20%,5.10%,4.40%,2.70%,1.80%,1.30%,,14.50%,4.60%,25.70%,9.70%,40.20%,77.00%,74.30%,70.40%,21.40%,19.00%,15.20%,5.80%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"889,021",,"56,815","60,658","63,333","60,286","56,588","59,203","57,806","58,011","53,271","49,959","49,928","52,224","59,122","49,572","39,756","28,006","17,926","16,557",,"123,991","37,713","218,519","79,161","345,165","694,880","670,502","634,149","210,939","185,713","151,817","62,489",,37.6,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.40%,6.80%,7.10%,6.80%,6.40%,6.70%,6.50%,6.50%,6.00%,5.60%,5.60%,5.90%,6.70%,5.60%,4.50%,3.20%,2.00%,1.90%,,13.90%,4.20%,24.60%,8.90%,38.80%,78.20%,75.40%,71.30%,23.70%,20.90%,17.10%,7.00%,,(X),(X),(X),(X),(X),,(X),(X)
Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"12,671,821",,"742,404","752,856","823,249","829,525","829,093","891,614","856,709","842,867","798,312","803,237","799,132","840,754","816,708","668,291","513,724","368,932","240,394","254,020",,"1,576,105","496,170","2,814,679","1,162,448","5,048,120","10,184,783","9,857,142","9,356,390","2,862,069","2,520,297","2,045,361","863,346",,38.6,96.3,62.2,26.2,36,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,5.90%,6.50%,6.50%,6.50%,7.00%,6.80%,6.70%,6.30%,6.30%,6.30%,6.60%,6.40%,5.30%,4.10%,2.90%,1.90%,2.00%,,12.40%,3.90%,22.20%,9.20%,39.80%,80.40%,77.80%,73.80%,22.60%,19.90%,16.10%,6.80%,,(X),(X),(X),(X),(X),,0.10%,1.50%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"6,217,305",,"378,778","383,859","420,715","418,097","423,442","450,372","432,580","426,822","392,949","396,957","394,088","408,766","393,805","311,416","239,491","161,487","98,050","85,631",,"804,574","249,124","1,432,476","592,415","2,544,262","4,952,759","4,784,829","4,531,112","1,289,880","1,127,797","896,075","345,168",,37.3,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.10%,6.20%,6.80%,6.70%,6.80%,7.20%,7.00%,6.90%,6.30%,6.40%,6.30%,6.60%,6.30%,5.00%,3.90%,2.60%,1.60%,1.40%,,12.90%,4.00%,23.00%,9.50%,40.90%,79.70%,77.00%,72.90%,20.70%,18.10%,14.40%,5.60%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"6,454,516",,"363,626","368,997","402,534","411,428","405,651","441,242","424,129","416,045","405,363","406,280","405,044","431,988","422,903","356,875","274,233","207,445","142,344","168,389",,"771,531","247,046","1,382,203","570,033","2,503,858","5,232,024","5,072,313","4,825,278","1,572,189","1,392,500","1,149,286","518,178",,39.9,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.60%,5.70%,6.20%,6.40%,6.30%,6.80%,6.60%,6.40%,6.30%,6.30%,6.30%,6.70%,6.60%,5.50%,4.20%,3.20%,2.20%,2.60%,,12.00%,3.80%,21.40%,8.80%,38.80%,81.10%,78.60%,74.80%,24.40%,21.60%,17.80%,8.00%,,(X),(X),(X),(X),(X),,(X),(X)
Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"6,732,219",,"414,553","413,125","469,734","464,953","467,839","457,768","428,551","413,533","412,235","415,640","411,780","446,115","431,921","357,331","280,044","192,073","127,123","127,901",,"882,859","270,009","1,567,421","662,783","2,644,879","5,346,452","5,164,798","4,871,760","1,516,393","1,338,492","1,084,472","447,097",,38,97.3,65,26.6,38.4,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.10%,7.00%,6.90%,6.90%,6.80%,6.40%,6.10%,6.10%,6.20%,6.10%,6.60%,6.40%,5.30%,4.20%,2.90%,1.90%,1.90%,,13.10%,4.00%,23.30%,9.80%,39.30%,79.40%,76.70%,72.40%,22.50%,19.90%,16.10%,6.60%,,(X),(X),(X),(X),(X),,0.10%,1.10%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,319,907",,"213,705","211,347","240,425","239,862","240,557","232,455","213,892","208,949","199,680","207,656","204,504","218,733","209,419","168,464","129,916","85,859","49,119","45,365",,"451,772","141,228","806,705","339,191","1,335,395","2,605,516","2,513,202","2,363,239","688,142","601,257","478,723","180,343",,36.5,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.40%,6.40%,7.20%,7.20%,7.20%,7.00%,6.40%,6.30%,6.00%,6.30%,6.20%,6.60%,6.30%,5.10%,3.90%,2.60%,1.50%,1.40%,,13.60%,4.30%,24.30%,10.20%,40.20%,78.50%,75.70%,71.20%,20.70%,18.10%,14.40%,5.40%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,412,312",,"200,848","201,778","229,309","225,091","227,282","225,313","214,659","204,584","212,555","207,984","207,276","227,382","222,502","188,867","150,128","106,214","78,004","82,536",,"431,087","128,781","760,716","323,592","1,309,484","2,740,936","2,651,596","2,508,521","828,251","737,235","605,749","266,754",,39.4,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,5.90%,6.70%,6.60%,6.70%,6.60%,6.30%,6.00%,6.20%,6.10%,6.10%,6.70%,6.50%,5.50%,4.40%,3.10%,2.30%,2.40%,,12.60%,3.80%,22.30%,9.50%,38.40%,80.30%,77.70%,73.50%,24.30%,21.60%,17.80%,7.80%,,(X),(X),(X),(X),(X),,(X),(X)
Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,155,070",,"190,606","205,431","204,137","214,686","217,206","205,568","194,731","204,583","187,514","176,295","182,152","210,384","208,202","177,535","134,108","95,428","69,762","76,742",,"409,568","121,656","721,830","310,236","1,224,288","2,516,898","2,433,240","2,294,466","761,777","674,770","553,575","241,932",,38.5,99.1,67.9,29.5,38.4,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.50%,6.50%,6.80%,6.90%,6.50%,6.20%,6.50%,5.90%,5.60%,5.80%,6.70%,6.60%,5.60%,4.30%,3.00%,2.20%,2.40%,,13.00%,3.90%,22.90%,9.80%,38.80%,79.80%,77.10%,72.70%,24.10%,21.40%,17.50%,7.70%,,(X),(X),(X),(X),(X),,0.10%,1.40%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,570,384",,"98,537","108,234","100,629","108,623","114,127","106,859","97,424","106,985","94,231","89,501","90,542","103,126","103,383","84,420","65,581","41,718","28,699","27,765",,"208,863","63,096","370,496","159,654","628,249","1,242,880","1,199,888","1,130,692","351,566","308,398","248,183","98,182",,37.3,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.30%,6.90%,6.40%,6.90%,7.30%,6.80%,6.20%,6.80%,6.00%,5.70%,5.80%,6.60%,6.60%,5.40%,4.20%,2.70%,1.80%,1.80%,,13.30%,4.00%,23.60%,10.20%,40.00%,79.10%,76.40%,72.00%,22.40%,19.60%,15.80%,6.30%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,584,686",,"92,069","97,197","103,508","106,063","103,079","98,709","97,307","97,598","93,283","86,794","91,610","107,258","104,819","93,115","68,527","53,710","41,063","48,977",,"200,705","58,560","351,334","150,582","596,039","1,274,018","1,233,352","1,163,774","410,211","366,372","305,392","143,750",,39.8,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,6.10%,6.50%,6.70%,6.50%,6.20%,6.10%,6.20%,5.90%,5.50%,5.80%,6.80%,6.60%,5.90%,4.30%,3.40%,2.60%,3.10%,,12.70%,3.70%,22.20%,9.50%,37.60%,80.40%,77.80%,73.40%,25.90%,23.10%,19.30%,9.10%,,(X),(X),(X),(X),(X),,(X),(X)
Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,913,314",,"183,236","196,962","203,308","198,860","212,867","191,948","185,425","196,332","166,573","161,008","166,283","181,715","190,801","155,439","119,227","84,450","55,679","63,201",,"400,270","116,795","700,301","294,932","1,152,005","2,292,476","2,213,013","2,082,728","668,797","591,393","477,996","203,330",,37.2,98.6,67.9,27.5,40.4,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.30%,6.80%,7.00%,6.80%,7.30%,6.60%,6.40%,6.70%,5.70%,5.50%,5.70%,6.20%,6.50%,5.30%,4.10%,2.90%,1.90%,2.20%,,13.70%,4.00%,24.00%,10.10%,39.50%,78.70%,76.00%,71.50%,23.00%,20.30%,16.40%,7.00%,,(X),(X),(X),(X),(X),,0.10%,1.00%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,446,287",,"92,742","99,266","104,418","101,286","113,358","97,552","93,107","100,655","83,825","81,547","83,427","88,372","92,448","75,103","56,137","35,899","23,046","24,099",,"203,684","59,128","355,554","155,516","589,783","1,129,127","1,090,733","1,021,833","306,732","269,673","214,284","83,044",,36.2,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.40%,6.90%,7.20%,7.00%,7.80%,6.70%,6.40%,7.00%,5.80%,5.60%,5.80%,6.10%,6.40%,5.20%,3.90%,2.50%,1.60%,1.70%,,14.10%,4.10%,24.60%,10.80%,40.80%,78.10%,75.40%,70.70%,21.20%,18.60%,14.80%,5.70%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,467,027",,"90,494","97,696","98,890","97,574","99,509","94,396","92,318","95,677","82,748","79,461","82,856","93,343","98,353","80,336","63,090","48,551","32,633","39,102",,"196,586","57,667","344,747","139,416","562,222","1,163,349","1,122,280","1,060,895","362,065","321,720","263,712","120,286",,38.2,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.70%,6.70%,6.70%,6.80%,6.40%,6.30%,6.50%,5.60%,5.40%,5.60%,6.40%,6.70%,5.50%,4.30%,3.30%,2.20%,2.70%,,13.40%,3.90%,23.50%,9.50%,38.30%,79.30%,76.50%,72.30%,24.70%,21.90%,18.00%,8.20%,,(X),(X),(X),(X),(X),,(X),(X)
Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"4,467,673",,"273,130","264,938","292,075","295,004","294,084","303,157","273,535","278,035","278,861","279,871","282,529","295,568","302,327","252,427","202,505","137,511","85,477","76,639",,"557,013","171,682","1,001,825","417,406","1,722,676","3,581,569","3,465,848","3,277,406","1,056,886","930,315","754,559","299,627",,39.2,96.9,64.8,27.8,37,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.10%,5.90%,6.50%,6.60%,6.60%,6.80%,6.10%,6.20%,6.20%,6.30%,6.30%,6.60%,6.80%,5.70%,4.50%,3.10%,1.90%,1.70%,,12.50%,3.80%,22.40%,9.30%,38.60%,80.20%,77.60%,73.40%,23.70%,20.80%,16.90%,6.70%,,(X),(X),(X),(X),(X),,0.10%,1.00%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,198,205",,"142,045","134,480","151,321","148,200","153,183","153,880","139,432","136,650","141,358","139,024","139,184","141,680","143,427","119,904","92,914","60,874","36,196","24,453",,"285,801","86,683","514,529","214,700","872,703","1,741,103","1,683,676","1,588,163","477,768","417,848","334,341","121,523",,37.8,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.50%,6.10%,6.90%,6.70%,7.00%,7.00%,6.30%,6.20%,6.40%,6.30%,6.30%,6.40%,6.50%,5.50%,4.20%,2.80%,1.60%,1.10%,,13.00%,3.90%,23.40%,9.80%,39.70%,79.20%,76.60%,72.20%,21.70%,19.00%,15.20%,5.50%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,269,468",,"131,085","130,458","140,754","146,804","140,901","149,277","134,103","141,385","137,503","140,847","143,345","153,888","158,900","132,523","109,591","76,637","49,281","52,186",,"271,212","84,999","487,296","202,706","849,973","1,840,466","1,782,172","1,689,243","579,118","512,467","420,218","178,104",,40.7,(X),(X),(X),(X),,(X),(X)
